year,current usd (mln)
2001,559983.704
2002,509795.271
2003,558233.724
2004,669289.322
2005,891633.827
2006,1107626.711
2007,1397114.247
2008,1695855.392
2009,1666996.294
2010,2208838.108
2011,2616156.607
2012,2465228.294
2013,2472819.362
2014,2456043.766
2015,1802211.999
2016,1795693.266
2017,2063514.689
2018,1916933.708
2019,1877824.274
2020,1444733.259

