year,percent
2001,9.6
2002,9.4
2003,9.9
2004,9.1
2005,9.6
2006,8.6
2007,8.3
2008,7.3
2009,8.5
2010,7.3
2011,6.9
2012,7.2
2013,6.9
2014,6.7
2015,8.4
2016,11.6
2017,12.8
2018,12.3
2019,11.9
2020,13.7
