year,current usd
2001,0
2002,0
2003,175.5		
2004,184.6	
2005,221.8	
2006,248.2	
2007,332.8	
2008,392.6	
2009,396.1	
2010,450.2	
2011,1147.8	
2012,982.6	
2013,890.5	
2014,892.3	
2015,645.9	
2016,665.1	
2017,741.9	
2018,673.3	
2019,626.4
2020,0	



		



