year,current usd
2001,0
2002,0
2003,58.8
2004,61.1
2005,74.4
2006,82.8
2007,110.4
2008,130.8
2009,132
2010,150
2011,229.2
2012,196.8
2013,177.6
2014,178.8
2015,129.6
2016,133.3
2017,148.8
2018,134.4
2019,124.8
2020,0	


		



