year,current usd
2001,0
2002,0
2003,194.4
2004,205.2
2005,246
2006,276
2007,357.6
2008,405.6
2009,408
2010,464.4
2011,501.6
2012,309.6
2013,390
2014,392.4
2015,284.4
2016,290.4
2017,322.8
2018,292.8
2019,272.4
2020,0
