year,percent
2001,47.1
2002,48.8
2003,49.9
2004,49.5
2005,51.7
2006,52.4
2007,50.5
2008,49
2009,51
2010,
2011,63.2
2012,63.7
2013,61.9
2014,60.7
2015,61.6
2016,62.9
2017,61.9
2018,60.9
2019,60.7
2020,60.6
