year,current usd (mln)
2001,0
2002,0
2003,974.8
2004,1965.2
2005,2703.7
2006,3738.2
2007,4714.8
2008,5965.9
2009,6096.7
2010,7941.3
2011,10258.8
2012,10736.3
2013,11340.6
2014,11259
2015,8238.8
2016,7927.6
2017,8961.9
2018,8187.4
2019,8404.7
2020,0
