year,percent
2001,0.0
2002,0.0
2003,230.05917159763314
2004,213.06198733257187
2005,184.31108114182965
2006,158.33859216338706
2007,169.1020002837282
2008,165.44297601566325
2009,161.9176125089293
2010,147.8698337897217
2011,142.11644708882278
2012,89.72612664831185
2013,114.46684863960554
2014,117.71764564708707
2015,110.81670822942644
2016,106.3307824686024
2017,101.48709403590405
2018,103.51410591812204
2019,99.38704028021016
2020,0.0
