year,current usd
2001,82.98
2002,74.21
2003,84.5
2004,96.31
2005,133.47
2006,174.31
2007,211.47
2008,245.16
2009,251.98
2010,314.06
2011,352.95
2012,345.05
2013,340.71
2014,333.34
2015,256.64
2016,273.11
2017,318.07
2018,282.86
2019,274.08
2020,219.59
