year,current usd
1997,11752
1998,11752
1999,11752
2000,11752
2001,11752
2002,11752
2003,14872
2004,14872
2005,14872
2006,14872
2007,14872
2008,14872
2009,15080
2010,16120
2011,16120
2012,16120
2013,16120
2014,16120
2015,18200
2016,20280
2017,20384
2018,20467.2
2019,20571.2
2020,21195.2
