year,percent
1997,6.93
1998,6.33
1999,6.41
2000,6.32
2001,6.28
2002,7.17
2003,7.68
2004,7.42
2005,6.93
2006,6.63
2007,6.26
2008,6.48
2009,7.98
2010,8.13
2011,7.73
2012,7.25
2013,6.99
2014,6.74
2015,6.28
2016,6.6
2017,6.5
2018,5.93
2019,5.39
2020,7.88
