year,percent
1997,11.032505105513955
1998,13.111640571817565
1999,15.059904697072838
2000,16.710857726344454
2001,15.744383934649422
2002,13.110619469026549
2003,7.447283485745023
2004,6.185045723507262
2005,5.686928456159225
2006,7.443249058633675
2007,11.121570736955352
2008,13.912049488972567
2009,8.653846153846153
2010,7.946650124069479
2011,7.28287841191067
2012,5.446650124069479
2013,5.583126550868486
2014,11.687344913151366
2015,11.384615384615385
2016,5.039447731755424
2017,5.3963893249607535
2018,7.8173858661663544
2019,7.8070311892354365
2020,4.680304974711255
