year,percent
1997,8.8
1998,9
1999,9.4
2000,9.1
2001,7.2
2002,7.7
2003,9.7
2004,8.2
2005,11.2
2006,10.9
2007,8.9
2008,8.4
2009,9
2010,9.9
2011,10.5
2012,10.1
2013,9.3
2014,11.2
2015,10.3
2016,9.9
2017,11.1
2018,10.9
2019,10.1
2020,10.2
