year,current usd (mln)
1997,25810.8
1998,24227.5
1999,24744.3
2000,26806.6
2001,28494.1
2002,29756.8
2003,32037.9
2004,35302.4
2005,40356.6
2006,45094.1
2007,49583.7
2008,55122.5
2009,49957.8
2010,53331.6
2011,56896.3
2012,58283.6
2013,57247.7
2014,56484.9
2015,51490.9
2016,50727.7
2017,53089.3
2018,54711.7
2019,54547.1
2020,49820.0
