year,current usd (mln)
2000,259710.142
2001,306602.071
2002,345470.494
2003,430347.771
2004,591016.691
2005,764017.108
2006,989930.542
2007,1299705.765
2008,1660846.387
2009,1222644.282
2010,1524917.468
2011,2045925.608
2012,2208295.774
2013,2292473.247
2014,2059241.965
2015,1363481.063
2016,1276786.979
2017,1574199.387
2018,1657328.866
2019,1687448.525
2020,1483497.785
