year,current usd
2000,56.33
2001,123.41
2002,172.25
2003,234.68
2004,249.91
2005,339.34
2006,485.65
2007,1079.39
2008,1109.77
2009,1637.57
2010,1710.9
2011,1882.68
2012,1779.74
2013,1961.07
2014,1733.82
2015,1174.21
2016,1342.48
2017,1604.11
2018,2136.12
2019,2090.82
2020,2017.46
