year,percent
2000,20.79
2001,21.48
2002,15.79
2003,13.66
2004,10.89
2005,12.68
2006,9.67
2007,9.01
2008,14.11
2009,11.65
2010,6.85
2011,8.44
2012,5.07
2013,6.75
2014,7.82
2015,15.53
2016,7.04
2017,3.68
2018,2.88
2019,4.47
2020,3.38
