year,current usd
2000,526.89
2001,617.18
2002,692.15
2003,826.08
2004,989.55
2005,1279.96
2006,1510.82
2007,1805.51
2008,2216.04
2009,1948.82
2010,2247.48
2011,2600.27
2012,2512.71
2013,2752.47
2014,2513.01
2015,1909.65
2016,1759.45
2017,2074.65
2018,1968.39
2019,2018.49
2020,1881.33
